math_score,programming_score,creativity_score,communication_score,problem_solving_score,theory_score,interest_tech,interest_arts,interest_business,E_vs_I,S_vs_N,T_vs_F,J_vs_P,career
5,2,5,7,6,4,0,1,1,0,0,1,1,Research Scientist
6,5,6,7,1,8,1,0,1,1,0,1,0,Business Analyst
7,8,7,5,9,1,0,0,0,1,0,0,0,Cybersecurity Specialist
3,9,1,9,2,6,0,0,0,0,0,0,1,Teacher / Lecturer
10,2,9,4,5,1,0,1,1,1,0,0,1,UI/UX Designer
3,3,3,3,9,1,0,1,0,1,1,1,0,AI/ML Engineer
5,3,4,4,4,8,0,1,1,0,0,1,1,AI/ML Engineer
6,1,10,5,3,4,0,1,1,1,1,0,1,Business Analyst
9,8,1,6,7,1,0,1,0,0,1,0,1,Data Scientist
5,6,10,3,6,10,1,0,1,1,1,1,1,Digital Marketing Specialist
1,8,3,2,8,7,0,1,0,0,0,0,1,Teacher / Lecturer
4,9,2,4,3,5,0,1,0,1,0,1,1,UI/UX Designer
5,5,2,5,5,5,0,0,1,1,1,1,1,Research Scientist
10,3,1,4,10,1,0,1,0,1,0,0,1,Project Manager
10,5,8,3,4,10,0,0,1,0,1,1,0,Technical Writer
5,5,3,8,4,6,0,0,0,0,0,0,1,Teacher / Lecturer
7,5,3,10,4,9,0,0,0,0,0,1,0,Digital Marketing Specialist
4,3,6,4,10,9,0,0,0,0,1,1,1,DevOps Engineer
1,10,8,2,8,8,1,0,1,1,1,0,1,Project Manager
5,4,9,2,6,5,0,1,0,1,1,1,1,Data Scientist
7,9,9,1,3,1,0,0,1,0,0,0,1,Cybersecurity Specialist
10,10,4,4,10,9,0,0,0,0,1,0,0,Digital Marketing Specialist
10,9,5,10,5,1,0,1,0,0,0,1,0,AI/ML Engineer
6,2,2,9,6,8,1,1,1,1,0,0,1,Cybersecurity Specialist
5,8,9,7,5,5,1,0,1,0,0,0,0,Technical Writer
4,8,8,10,6,3,1,1,1,0,1,0,1,Digital Marketing Specialist
2,7,3,7,8,7,1,1,1,1,1,0,1,Software Developer
4,8,9,7,7,7,1,0,1,1,1,0,0,Cloud Engineer
10,3,3,8,5,9,1,0,0,0,0,0,0,UI/UX Designer
10,6,9,1,10,7,1,1,0,1,0,1,1,Digital Marketing Specialist
3,1,2,10,6,3,1,0,1,0,1,0,1,Teacher / Lecturer
10,7,10,10,4,1,1,0,0,1,0,1,0,Graphic Designer
1,1,9,8,9,8,1,1,0,0,0,1,1,UI/UX Designer
8,9,8,4,4,3,1,0,0,0,1,0,0,Project Manager
5,1,9,4,1,8,1,0,1,0,1,1,1,Product Manager
4,1,5,4,7,8,1,0,0,0,1,1,1,Business Analyst
8,7,2,6,7,5,1,0,0,1,0,0,0,Product Manager
7,2,8,7,4,1,1,0,0,1,0,0,0,Research Scientist
2,5,6,6,3,10,1,1,1,1,0,0,0,Business Analyst
1,8,8,1,8,7,0,1,0,1,0,1,1,Data Scientist
4,8,5,8,5,10,1,0,0,0,0,1,1,Graphic Designer
8,3,10,10,10,5,0,1,1,0,1,0,1,DevOps Engineer
2,7,2,7,7,8,1,0,1,1,0,0,1,Business Analyst
3,3,6,6,4,9,1,0,0,1,0,1,0,Teacher / Lecturer
1,6,5,6,4,7,0,0,0,1,0,1,1,Teacher / Lecturer
1,6,5,5,8,7,1,0,1,1,1,1,1,AI/ML Engineer
3,3,1,6,8,1,0,0,1,1,1,1,1,Business Analyst
5,7,2,9,2,4,0,1,1,0,1,0,0,Technical Writer
3,3,8,10,2,2,0,1,1,0,0,1,1,Product Manager
1,8,3,9,3,2,1,0,1,0,1,1,1,Project Manager
1,10,10,10,3,2,1,1,1,1,1,1,0,Software Developer
8,4,3,8,1,4,1,0,1,1,1,1,1,UI/UX Designer
10,1,8,10,3,1,0,1,0,1,0,0,1,Research Scientist
2,4,8,9,6,4,0,0,1,1,1,0,0,Business Analyst
3,7,2,10,8,2,1,1,1,0,0,1,1,AI/ML Engineer
2,4,8,8,10,5,1,0,0,0,0,1,1,Project Manager
3,6,1,8,6,3,1,0,1,1,1,0,1,Cybersecurity Specialist
7,9,6,1,5,8,1,1,1,0,0,0,0,Data Scientist
1,1,8,10,4,4,1,1,0,0,1,1,1,Project Manager
10,5,3,5,3,1,0,0,1,1,0,1,1,Data Scientist
8,7,8,4,4,1,0,1,0,1,1,0,0,Business Analyst
10,1,1,2,7,10,0,0,0,1,1,0,0,Graphic Designer
10,4,9,8,1,3,1,1,0,1,1,0,1,Graphic Designer
10,6,9,3,7,9,0,1,0,1,0,0,1,Business Analyst
2,2,5,4,1,7,0,0,1,1,1,0,1,Software Developer
3,10,10,7,2,2,0,1,0,0,0,0,1,Data Scientist
9,5,4,10,4,9,0,1,0,0,1,1,0,Graphic Designer
7,10,6,9,1,10,0,0,1,1,0,0,1,Digital Marketing Specialist
4,1,7,2,9,2,1,1,0,0,0,0,0,AI/ML Engineer
10,6,5,3,6,3,0,0,0,1,1,0,0,Graphic Designer
5,6,10,4,1,10,1,0,0,1,1,0,1,Teacher / Lecturer
2,4,9,10,1,2,1,0,0,1,1,1,1,Software Developer
8,8,3,1,6,3,1,0,1,1,1,1,0,Graphic Designer
4,4,7,7,4,6,1,0,0,0,1,0,0,Digital Marketing Specialist
9,8,10,2,4,9,1,1,1,1,0,1,1,UI/UX Designer
5,8,10,5,6,9,0,0,1,0,1,1,0,Teacher / Lecturer
9,5,5,1,7,7,0,0,0,1,1,1,1,DevOps Engineer
4,4,7,3,9,3,1,1,0,1,0,1,1,UI/UX Designer
10,2,2,2,10,4,1,1,0,1,1,1,0,Software Developer
5,3,4,1,5,6,1,1,0,0,1,1,0,Software Developer
9,3,2,7,9,5,0,0,1,1,0,0,1,Digital Marketing Specialist
8,4,7,5,4,2,1,0,1,1,1,0,0,AI/ML Engineer
3,4,2,1,10,6,0,0,1,1,1,0,1,Cloud Engineer
1,10,1,6,2,3,1,1,0,0,1,0,1,Cloud Engineer
3,5,9,5,3,8,0,0,1,0,0,0,1,Business Analyst
4,4,1,3,1,2,1,1,0,0,1,1,0,Project Manager
2,10,8,7,6,1,0,0,0,1,0,0,1,Cloud Engineer
1,8,2,10,6,9,1,1,0,0,1,0,1,Graphic Designer
7,6,8,9,1,3,0,0,0,1,0,1,1,Cloud Engineer
8,6,3,9,3,1,0,0,0,0,1,1,1,AI/ML Engineer
7,8,6,9,5,7,0,0,1,0,0,0,1,Research Scientist
5,7,3,2,3,10,0,1,1,1,0,1,1,AI/ML Engineer
1,10,7,3,10,5,0,1,0,0,0,1,1,Software Developer
7,10,10,7,3,5,0,0,1,1,0,1,1,Cloud Engineer
7,8,9,5,10,1,0,0,0,1,0,1,1,Project Manager
9,2,2,2,3,9,1,0,0,0,0,0,1,Software Developer
3,9,5,3,5,7,1,1,0,1,1,1,1,AI/ML Engineer
